id|category|app|what_it_does|auth_methods|access|surface|mcp|verdict|blocker|confidence|evidence
1|CRM and Sales|Salesforce|Salesforce is a CRM/sales platform.|Unknown / not verified|Access path unclear from fetched docs.|Docs found, but API style/breadth unclear from fetched text.|No MCP signal found in fetched docs.|Investigate further|Docs were reachable, but auth/API indicators were weak.|Medium|https://developer.salesforce.com/docs/apis; https://help.salesforce.com/s/articleView?id=sf.remoteaccess_oauth_flows.htm; https://salesforce.com/docs
2|CRM and Sales|HubSpot|HubSpot is a CRM/sales platform.|Unknown / not verified|Self-serve signup/developer path indicated|moderate/focused documented surface with REST signals.|Agent/AI-tooling signal found, but MCP not proven.|Ready|Public docs and auth/API indicators are present.|Medium|https://developers.hubspot.com/docs/api/oauth-quickstart; https://developers.hubspot.com/docs/api
3|CRM and Sales|Pipedrive|Pipedrive is a CRM/sales platform.|OAuth2|Self-serve signup/developer path indicated; paid/customer/partner access gate indicated|moderate/focused documented surface with REST, Webhooks signals.|No MCP signal found in fetched docs.|Ready with gate|Buildable after review/admin/plan/compliance gate is cleared.|High|https://developers.pipedrive.com/docs/api/v1; https://pipedrive.com/developers; https://pipedrive.com/api
4|CRM and Sales|Attio|Attio is a CRM/sales platform.|OAuth2|Access path unclear from fetched docs.|broad documented surface with REST, Webhooks, SDK signals.|MCP/server-card signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|High|https://docs.attio.com/rest-api/overview; https://attio.com/developers; https://attio.com/docs
5|CRM and Sales|Twenty|Twenty is a CRM/sales platform.|Unknown / not verified|Access path unclear from fetched docs.|moderate/focused documented surface with GraphQL, Webhooks signals.|Agent/AI-tooling signal found, but MCP not proven.|Ready|Public docs and auth/API indicators are present.|Medium|https://twenty.com/developers; https://developers.twenty.com; https://developer.twenty.com
6|CRM and Sales|Podio|Podio is a CRM/sales platform.|Unknown / not verified|Access path unclear from fetched docs.|moderate/focused documented surface with REST signals.|No MCP signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|Medium|https://podio.com/developers; https://podio.com/api-docs; https://podio.com/docs/api
7|CRM and Sales|Zoho CRM|Zoho CRM is a CRM/sales platform.|Unknown / not verified|Self-serve signup/developer path indicated; paid/customer/partner access gate indicated|Docs found, but API style/breadth unclear from fetched text.|MCP/server-card signal found in fetched docs.|Investigate further|Docs were reachable, but auth/API indicators were weak.|Medium|https://zoho.com/docs; https://zoho.com/developer; https://developers.zoho.com
8|CRM and Sales|Close|Close is a CRM/sales platform.|OAuth2; API key|Self-serve signup/developer path indicated|broad documented surface with REST, Webhooks, Bulk/async signals.|MCP/server-card signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|High|https://close.com/api; https://developer.close.com
9|CRM and Sales|Copper|Copper is a CRM/sales platform.|OAuth2|Access path unclear from fetched docs.|moderate/focused documented surface with Webhooks, Bulk/async signals.|No MCP signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|High|https://copper.com/developers; https://copper.com/api-docs; https://copper.com/docs
10|CRM and Sales|DealCloud|DealCloud is a CRM/sales platform.|API key|Access path unclear from fetched docs.|moderate/focused documented surface with REST, SDK signals.|MCP/server-card signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|High|https://api.docs.dealcloud.com/docs; https://api.docs.dealcloud.com
11|Support and Helpdesk|Zendesk|Zendesk is a support/helpdesk platform.|Unknown / not verified|Self-serve signup/developer path indicated|broad documented surface with REST, Webhooks, SDK signals.|Agent/AI-tooling signal found, but MCP not proven.|Ready|Public docs and auth/API indicators are present.|High|https://developer.zendesk.com/api-reference; https://zendesk.com/developers; https://zendesk.com/api
12|Support and Helpdesk|Intercom|Intercom is a support/helpdesk platform.|Unknown / not verified|Self-serve signup/developer path indicated|moderate/focused documented surface with REST, Webhooks signals.|No MCP signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|High|https://intercom.com/developers; https://intercom.com/api; https://developers.intercom.com
13|Support and Helpdesk|Freshdesk|Freshdesk is a support/helpdesk platform.|API key|Access path unclear from fetched docs.|broad documented surface with REST, SDK, Bulk/async signals.|Agent/AI-tooling signal found, but MCP not proven.|Ready|Public docs and auth/API indicators are present.|High|https://developers.freshdesk.com/api; https://developers.freshdesk.com
14|Support and Helpdesk|Front|Front is a support/helpdesk platform.|Unknown / not verified|Access path unclear from fetched docs.|Docs found, but API style/breadth unclear from fetched text.|Agent/AI-tooling signal found, but MCP not proven.|Investigate further|Docs were reachable, but auth/API indicators were weak.|Low|https://front.com/api
15|Support and Helpdesk|Pylon|Pylon is a support/helpdesk platform.|Unknown / not verified|No reachable public docs found.|No public API surface verified.|No MCP signal found in fetched docs.|Not buildable yet|No reachable public docs were found by the agent.|Low|https://usepylon.com/developers; https://usepylon.com/api-docs
16|Support and Helpdesk|LiveAgent|LiveAgent is a support/helpdesk platform.|Unknown / not verified|No reachable public docs found.|No public API surface verified.|No MCP signal found in fetched docs.|Not buildable yet|No reachable public docs were found by the agent.|Low|https://liveagent.com/developers; https://liveagent.com/api-docs
17|Support and Helpdesk|Plain|Plain is a support/helpdesk platform.|API key; Bearer token; No auth/local|Access path unclear from fetched docs.|broad documented surface with GraphQL, Webhooks, SDK signals.|MCP/server-card signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|Medium|https://plain.com/docs
18|Support and Helpdesk|Help Scout|Help Scout is a support/helpdesk platform.|Unknown / not verified|Access path unclear from fetched docs.|Docs found, but API style/breadth unclear from fetched text.|Agent/AI-tooling signal found, but MCP not proven.|Investigate further|Docs were reachable, but auth/API indicators were weak.|Low|https://helpscout.com/docs; https://developer.helpscout.com
19|Support and Helpdesk|Gorgias|Gorgias is a support/helpdesk platform.|Unknown / not verified|Self-serve signup/developer path indicated; review, business, developer-token or admin approval gate indicated|moderate/focused documented surface with REST signals.|Agent/AI-tooling signal found, but MCP not proven.|Ready with gate|Buildable after review/admin/plan/compliance gate is cleared.|Medium|https://developers.gorgias.com; https://developer.gorgias.com
20|Support and Helpdesk|Gladly|Gladly is a support/helpdesk platform.|Unknown / not verified|Access path unclear from fetched docs.|broad documented surface with REST, Webhooks, SDK signals.|No MCP signal found in fetched docs.|Ready|Public docs and auth/API indicators are present.|Medium|https://developer.gladly.com
