id|category|app|what_it_does|auth_methods|access|surface|mcp|verdict|blocker|confidence|evidence
1|CRM and Sales|Salesforce|Enterprise CRM platform for sales, service, marketing, and workflow data.|OAuth2; JWT bearer; session token|Self-serve developer signup/trial, but production org scopes and connected-app approval are admin controlled.|Very broad REST, SOAP, Bulk, Streaming, Metadata and Pub/Sub APIs.|No official product MCP found; community Salesforce MCP wrappers exist.|Ready|OAuth scope design, tenant setup, and object model breadth.|High|https://developer.salesforce.com/docs/apis; https://help.salesforce.com/s/articleView?id=platform.remoteaccess_oauth_flows.htm&type=5
2|CRM and Sales|HubSpot|CRM and marketing automation platform for contacts, companies, deals and engagement data.|OAuth2; private app access token|Self-serve developer account and private apps; marketplace/public apps require review.|Broad documented REST APIs with CRM objects, owners, tickets, marketing and webhooks.|No official MCP found.|Ready|Map scopes carefully and handle per-portal object customization.|High|https://developers.hubspot.com/docs/api; https://developers.hubspot.com/docs/apps/developer-platform/build-apps/authentication
3|CRM and Sales|Pipedrive|Sales CRM for deals, contacts, activities and pipelines.|OAuth2; API token|Self-serve trial and developer sandbox; API token available from user settings.|Broad REST API covering core CRM, activities, files, webhooks and marketplace apps.|No official MCP found.|Ready|Pagination/rate limits and OAuth for multi-tenant public apps.|High|https://developers.pipedrive.com/docs/api/v1; https://pipedrive.readme.io/docs/marketplace-manager
4|CRM and Sales|Attio|Modern CRM with records, objects, lists, notes and workspace automation.|Bearer API token; OAuth2 for public apps|Self-serve workspace tokens; OAuth app distribution still needs app setup/review.|REST API is solid for objects, records, lists, notes, tasks and webhooks.|No official MCP found.|Ready|API is young; some advanced workspace admin surfaces are limited.|High|https://docs.attio.com/rest-api/overview; https://docs.attio.com/rest-api/guides/authentication
5|CRM and Sales|Twenty|Open-source CRM for companies, people, opportunities and tasks.|API key; bearer token; self-hosted auth|Self-serve because it is open-source and cloud signup is available.|REST and GraphQL-style platform APIs are available, with direct self-host escape hatch.|No official MCP found.|Ready|Version drift between cloud and self-hosted deployments.|Medium|https://twenty.com/developers; https://github.com/twentyhq/twenty
6|CRM and Sales|Podio|Work management and CRM-style app platform from Citrix for workspaces and items.|OAuth2; app token flow|Self-serve developer docs, but app/workspace access depends on a Podio account/admin.|Broad REST API for apps, items, files, tasks, comments and hooks.|No official MCP found.|Ready|Older API conventions and workspace-level permissions.|High|https://developers.podio.com/; https://developers.podio.com/authentication
7|CRM and Sales|Zoho CRM|CRM platform for leads, contacts, deals, accounts and automation.|OAuth2|Self-serve Zoho API Console and free/trial CRM org; production depends on edition limits.|Broad REST API with modules, bulk, COQL, metadata, notifications and SDKs.|No official MCP found.|Ready|Regional data centers and OAuth scope/module mapping.|High|https://www.zoho.com/crm/developer/docs/api/v8/; https://api-console.zoho.com/
8|CRM and Sales|Close|Sales CRM focused on calling, email, leads and pipeline automation.|API key over Basic auth; OAuth2 for partners|Self-serve trial/account can create API keys; public app distribution needs partner setup.|REST API covers leads, contacts, activities, calls, SMS, tasks and webhooks.|No official MCP found.|Ready|Basic auth token handling and activity volume/rate limits.|High|https://developer.close.com/; https://developer.close.com/topics/authentication/
9|CRM and Sales|Copper|Google Workspace-native CRM for people, companies, opportunities and tasks.|API key plus user email headers|API keys are self-serve for account admins/users with permissions; plan limits apply.|Documented REST API for core CRM resources and webhooks.|No official MCP found.|Ready|Header-based auth is simple but less OAuth-native for delegated agents.|High|https://developer.copper.com/; https://developer.copper.com/introduction/authentication.html
10|CRM and Sales|DealCloud|Deal management CRM for private capital, banking and relationship intelligence.|OAuth2 client credentials / bearer token|Gated to DealCloud customers; API credentials are issued for tenant implementations.|Documented REST API is broad for objects, records, users, notes and files.|No official MCP found.|Outreach needed|Enterprise customer access and tenant-specific schema.|Medium|https://api.docs.dealcloud.com/; https://www.dealcloud.com/
